RampingRate,FlowRateGas,Time,PositionSulphur,PositionSilicon,LineWidth,Class
10,0.14,20,15,15,,1
15,0.14,20,15,15,,1
20,0.14,20,15,15,,1
5,0.17,20,15,15,,1
10,0.17,20,15,15,,1
15,0.17,20,15,15,,1
20,0.17,20,15,15,0.04916464,0
5,0.2,20,15,15,,1
10,0.2,20,15,15,,1
15,0.2,20,15,15,,1
20,0.2,20,15,15,0.056399061,0
5,0.23,20,15,15,0.0563,0
10,0.23,20,15,15,0.057674006,0
15,0.23,20,15,15,0.057674171,0
20,0.23,20,15,15,0.05967,0
5,0.14,20,16,12,0.055673858,0
10,0.14,20,16,12,0.054833518,0
15,0.14,20,16,12,0.053617022,0
20,0.14,20,16,12,0.052495266,0
5,0.17,20,16,12,0.054636512,0
10,0.17,20,16,12,0.054238824,0
15,0.17,20,16,12,0.053580651,0
20,0.17,20,16,12,0.052856887,0
5,0.2,20,16,12,0.054546941,0
10,0.2,20,16,12,0.054410166,0
15,0.2,20,16,12,0.054048628,0
20,0.2,20,16,12,,1
5,0.23,20,16,12,0.052904897,0
10,0.23,20,16,12,0.05157,0
15,0.23,20,16,12,0.052908352,0
20,0.23,20,16,12,,1
5,0.14,20,16,15,0.04132,0
10,0.14,20,16,15,,1
15,0.14,20,16,15,0.03833,0
20,0.14,20,16,15,0.044164123,0
5,0.17,20,16,15,0.04654,0
10,0.17,20,16,15,0.049251236,0
15,0.17,20,16,15,0.04879,0
20,0.17,20,16,15,0.04916464,0
5,0.2,20,16,15,0.06763,0
10,0.2,20,16,15,0.059109569,0
15,0.2,20,16,15,0.057855559,0
20,0.2,20,16,15,0.05641488,0
5,0.23,20,16,15,,1
10,0.23,20,16,15,,1
15,0.23,20,16,15,0.057670991,0
20,0.23,20,16,15,0.057250074,0
5,0.14,25,14,12,,1
10,0.14,25,14,12,,1
15,0.14,25,14,12,,1
20,0.14,25,14,12,,1
5,0.17,25,14,12,,1
10,0.17,25,14,12,,1
15,0.17,25,14,12,,1
20,0.17,25,14,12,,1
5,0.2,25,14,12,,1
10,0.2,25,14,12,,1
15,0.2,25,14,12,,1
20,0.2,25,14,12,,1
5,0.23,25,14,12,,1
10,0.23,25,14,12,,1
15,0.23,25,14,12,,1
20,0.23,25,14,12,,1
5,0.14,25,14,15,,1
10,0.14,25,14,15,,1
15,0.14,25,14,15,,1
20,0.14,25,14,15,,1
5,0.17,25,14,15,,1
10,0.17,25,14,15,,1
15,0.17,25,14,15,,1
20,0.17,25,14,15,,1
5,0.2,25,14,15,,1
10,0.2,25,14,15,,1
15,0.2,25,14,15,,1
20,0.2,25,14,15,,1
5,0.23,25,14,15,,1
10,0.23,25,14,15,,1
15,0.23,25,14,15,,1
20,0.23,25,14,15,,1
5,0.14,25,15,12,0.07769,0
10,0.14,25,15,12,0.059668805,0
15,0.14,25,15,12,0.055550744,0
20,0.14,25,15,12,0.04651,0
5,0.17,25,15,12,0.054289287,0
10,0.17,25,15,12,0.052285388,0
15,0.17,25,15,12,0.050096665,0
20,0.17,25,15,12,0.04628,0
5,0.2,25,15,12,0.05325,0
10,0.2,25,15,12,0.047391353,0
15,0.2,25,15,12,0.047030311,0
20,0.2,25,15,12,0.04673589,0
5,0.23,25,15,12,0.04824904,0
10,0.23,25,15,12,0.047638878,0
15,0.23,25,15,12,0.04691,0
20,0.23,25,15,12,0.047516427,0
5,0.14,25,15,15,,1
10,0.14,25,15,15,,1
15,0.14,25,15,15,0.055,0
20,0.14,25,15,15,0.054634209,0
5,0.17,25,15,15,,1
10,0.17,25,15,15,,1
15,0.17,25,15,15,0.049165771,0
20,0.17,25,15,15,0.049757986,0
5,0.2,25,15,15,,1
10,0.2,25,15,15,,1
15,0.2,25,15,15,,1
20,0.2,25,15,15,0.046792606,0
5,0.23,25,15,15,0.048253084,0
10,0.23,25,15,15,0.047449451,0
15,0.23,25,15,15,0.046476189,0
20,0.23,25,15,15,0.04583446,0
5,0.14,25,16,12,0.063636928,0
10,0.14,25,16,12,0.059668805,0
15,0.14,25,16,12,0.05403,0
20,0.14,25,16,12,0.052109664,0
5,0.17,25,16,12,0.054289287,0
10,0.17,25,16,12,0.052285388,0
15,0.17,25,16,12,0.050096665,0
20,0.17,25,16,12,0.048519112,0
5,0.2,25,16,12,0.0413,0
10,0.2,25,16,12,0.047391353,0
15,0.2,25,16,12,,1
20,0.2,25,16,12,,1
5,0.23,25,16,12,0.04824904,0
10,0.23,25,16,12,0.047638878,0
15,0.23,25,16,12,,1
20,0.23,25,16,12,,1
5,0.14,25,16,15,0.055345374,0
10,0.14,25,16,15,,1
15,0.14,25,16,15,0.054680424,0
20,0.14,25,16,15,0.05782,0
5,0.17,25,16,15,0.04516,0
10,0.17,25,16,15,0.048829465,0
15,0.17,25,16,15,0.049165771,0
20,0.17,25,16,15,0.049757986,0
5,0.2,25,16,15,0.0484,0
10,0.2,25,16,15,,1
15,0.2,25,16,15,0.046971361,0
20,0.2,25,16,15,0.046792606,0
5,0.23,25,16,15,0.04855,0
10,0.23,25,16,15,0.047449451,0
15,0.23,25,16,15,0.04743,0
20,0.23,25,16,15,0.04174,0
